         10431943 function calls (10401839 primitive calls) in 19.539 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      670    0.029    0.000    0.045    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/concurrent/futures/thread.py:126(__init__)
     1503    0.009    0.000    0.044    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:620(set)
     12/3    0.000    0.000    0.044    0.015 {built-in method builtins.exec}
     4183    0.005    0.000    0.043    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:428(notify_all)
     4286    0.008    0.000    0.042    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:7(__init__)
     2680    0.014    0.000    0.040    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:519(release)
     13/8    0.000    0.000    0.039    0.005 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      6/3    0.000    0.000    0.039    0.013 {built-in method builtins.__import__}
     1150    0.009    0.000    0.039    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:13(from_numpy)
        1    0.000    0.000    0.038    0.038 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/python_impl.py:31(__init__)
        1    0.012    0.012    0.038    0.038 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/python_impl.py:36(_initialize_weights)
     4289    0.034    0.000    0.034    0.000 {built-in method numpy.zeros}
    16407    0.027    0.000    0.031    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:306(__exit__)
     1504    0.007    0.000    0.030    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:592(__init__)
      320    0.003    0.000    0.030    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:108(sum)
     2680    0.017    0.000    0.030    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/concurrent/futures/_base.py:497(set_running_or_notify_cancel)
      560    0.025    0.000    0.028    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:87(subtract)
      270    0.001    0.000    0.028    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/lib/_stride_tricks_impl.py:367(broadcast_to)
     7190    0.012    0.000    0.027    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:318(_is_owned)
      270    0.023    0.000    0.027    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/lib/_stride_tricks_impl.py:340(_broadcast_to)
    15529    0.027    0.000    0.027    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.026    0.026 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/__init__.py:326(__getattr__)
        1    0.000    0.000    0.024    0.024 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/random/__init__.py:1(<module>)
        3    0.000    0.000    0.024    0.008 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/tqdm/std.py:760(get_lock)
        1    0.000    0.000    0.024    0.024 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/tqdm/std.py:90(__init__)
        1    0.000    0.000    0.024    0.024 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/tqdm/std.py:116(create_mp_lock)
     4852    0.024    0.000    0.024    0.000 {method 'put' of '_queue.SimpleQueue' objects}
      430    0.015    0.000    0.024    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/lib/_function_base_impl.py:2435(__init__)
        1    0.000    0.000    0.023    0.023 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/random/_pickle.py:1(<module>)
     13/8    0.000    0.000    0.021    0.003 <frozen importlib._bootstrap_external>:1322(exec_module)
     13/8    0.007    0.001    0.021    0.003 {built-in method _imp.exec_dynamic}
      320    0.002    0.000    0.020    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2338(sum)
      430    0.020    0.000    0.020    0.000 {built-in method numpy.frompyfunc}
      560    0.013    0.000    0.020    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:69(multiply_elementwise)
     1150    0.018    0.000    0.018    0.000 {method 'astype' of 'numpy.ndarray' objects}
      320    0.005    0.000    0.018    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
    14397    0.018    0.000    0.018    0.000 {method '__exit__' of '_thread.lock' objects}
      670    0.004    0.000    0.016    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:461(__init__)
     2680    0.016    0.000    0.016    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:122(RLock)
     2829    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
      270    0.013    0.000    0.014    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:78(add)
     8368    0.014    0.000    0.014    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.014    0.014 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/multiprocessing/__init__.py:1(<module>)
     8040    0.013    0.000    0.013    0.000 {method '__enter__' of '_thread.RLock' objects}
     5221    0.013    0.000    0.013    0.000 {method 'release' of '_thread.lock' objects}
      320    0.012    0.000    0.012    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       13    0.000    0.000    0.011    0.001 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/tqdm/std.py:1464(display)
    20308    0.011    0.000    0.011    0.000 {built-in method builtins.getattr}
     4182    0.011    0.000    0.011    0.000 {method 'get_nowait' of '_queue.SimpleQueue' objects}
       12    0.000    0.000    0.011    0.001 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/tqdm/std.py:1325(refresh)
     3717    0.011    0.000    0.011    0.000 {method 'remove' of 'collections.deque' objects}
       11    0.000    0.000    0.011    0.001 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/tqdm/std.py:1160(__iter__)
        1    0.000    0.000    0.010    0.010 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/multiprocessing/context.py:1(<module>)
     3007    0.007    0.000    0.010    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:312(_release_save)
        3    0.000    0.000    0.010    0.003 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/warnings.py:118(_formatwarnmsg)
        3    0.000    0.000    0.010    0.003 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/warnings.py:35(_formatwarnmsg_impl)
        3    0.000    0.000    0.010    0.003 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/warnings.py:97(_showwarnmsg)
        3    0.000    0.000    0.010    0.003 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/warnings.py:20(_showwarnmsg_impl)
        3    0.000    0.000    0.010    0.003 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/linecache.py:21(getline)
        3    0.000    0.000    0.010    0.003 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/linecache.py:31(getlines)
     1506    0.007    0.000    0.010    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/_weakrefset.py:85(add)
        2    0.000    0.000    0.010    0.005 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/linecache.py:80(updatecache)
     3022    0.010    0.000    0.010    0.000 {method 'add' of 'set' objects}
       10    0.000    0.000    0.009    0.001 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/tqdm/std.py:1198(update)
     1502    0.007    0.000    0.009    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:1047(_delete)
        2    0.009    0.005    0.009    0.005 {method 'readlines' of '_io._IOBase' objects}
       26    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       12    0.001    0.000    0.009    0.001 <frozen importlib._bootstrap_external>:1089(get_code)
     6090    0.009    0.000    0.009    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.009    0.009 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/multiprocessing/context.py:70(RLock)
     3006    0.004    0.000    0.009    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:315(_acquire_restore)
